Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2,case7,case8,case9,case10,case13,case15,case16,case18,ccrArrival,front_alg_fr,premier_plot_fr,modes_fr,Type_Avion_Survol
7481,F,958,LFPG,KLAX,AFR066   ,Z,B77W   ,Z  ,FGSQF    ,,240321,AA57091703,,,,,,,394A05,,AFR066,IS ,B77W/H,SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG0915 ,N0485F260 ATREX UT225 VESAN/N0489F300 UL613 SOVAT/N0485F320 L613 TLA DCT BARKU/M084F320 DCT RATSU/M083F320 DCT 65N020W 67N030W 68N040W/M083F340 68N050W 68N060W DCT CANEL/N0474F340 DCT 67N070W 6530N08000W 63N090W/N0485F360 5830N10000W DCT LITGO DCT YYN/N0475F380 DCT HILGR DCT NALSI DCT TCH DCT MLF J107 BERYL DCT GUNTR Q73 HAKMN ANJLL4 ,KLAX1048 KONT ,"CODE/394A05 DAT/CPDLCX 1FANSP2P
",CDG,False,958.0,394A05,B77W
7483,F,1305,LFPG,KLAX,AFR072   ,Z,B77W   ,Z  ,FGSQC    ,,240321,AA57097084,,,,,,,394A02,,AFR072,IS ,B77W/H,SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG1230 ,N0485F260 ATREX UT225 VESAN/N0489F300 UL613 SOVAT/N0486F320 L613 TLA DCT BARKU/M085F320 DCT RATSU/M083F320 DCT 65N020W 67N030W 68N040W/M083F340 68N050W DCT DARUB/N0476F340 DCT 66N070W 64N080W/N0481F360 61N090W 59N095W 56N100W DCT VLN DCT BIL DCT BPI DCT ODUCE DCT BERYL DCT GUNTR Q73 HAKMN ANJLL4 ,KLAX1046 KONT ,"CODE/394A02 DAT/CPDLCX 1FANSP2PDC DOF/240321 EET/EGTT0019 EGPX0058 BIR
",CDG,False,1304.0,394A02,B77W
7485,F,1552,LFPG,KMIA,AFR092   ,Z,B772   ,Z  ,FGSPA    ,,240321,AA57100006,,,,,,,3949E0,,AFR092,IS ,B772/H,SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG1530 ,N0481F350 LGL UT176 TERPO UN461 AKEMO DCT RIVAK/M084F360 DCT SIVIR/M084F360 DCT PASAS/M084F360 DCT 44N020W 42N030W 41N040W 41N050W DCT SOORY/M084F380 DCT PERDO M203 SNAGY BNFSH2 ,KMIA0920 MYNN ,"CODE/3949E0 DAT/CPDLCX 1FANSP2PDC DOF/240321 EET/EGGX0100 LPPO0126 KZWY0402 KZMA0833 SIVIR0104 44N020W0202 42N030W0300 41N050W0506 SOORY0615 PERDO0738 LSIER0746 WILYY0756 LEXIM0803 NAV/RNP2
",CDG,False,1551.0,3949E0,B772
7491,F,1453,LFPG,ESSA,AFR1062  ,Z,A320   ,Z  ,FHEPA    ,,240321,AA57095178,,,,,,,3991E0,,AFR1062,IS ,A320/M,SDE2E3FGIJ1J4RWY/HB1D1G1 ,LFPG1415 ,N0441F340 NURMO UN874 VEKIN UN873 ADUTO N873 FERDI/N0443F360 N873 VICOT/N0441F370 DCT DOSUR P729 TALSA Z702 EVBAS DCT MIKNA N851 PELUP Z226 NILUG ,ESSA0212 ESGG ,"CODE/3991E0 DOF/240321 EET/EBUR0018 EHAA0025 EDVV0051 EKDK0109 ESAA0129 OPR/AFR ORGN/LFBOAFMI PER/C REG/FHEPA RMK/TCAS RVR/075 SUR/260B CANMANDATE)
",CDG,False,1453.0,3991E0,A320
7492,F,1622,LFPG,EGBB,AFR1064  ,Z,E190   ,Z  ,FHBLE    ,,240321,AA57076292,,,,,,,398564,,AFR1064,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFPG1615 ,N0470F260 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO T420 HEMEL ,EGBB0051 EGNX ,"CODE/398564 DOF/240321 EET/EGTT0020 OPR/HOP ORGN/EKBICPUF REG/FHBLE RMK/CONTACT OCC +33240135367 RVR/175)
",CDG,False,1621.0,398564,E190
7493,F,1735,LFPG,LROP,AFR1088  ,Z,A319   ,Z  ,FGRHR    ,,240321,AA57099069,,,,,,,3944F1,,AFR1088,IS ,A319/M,SDE2E3FGIJ1RWY/HB1 ,LFPG1715 ,N0437F390 BUBLI UG42 LUVAL DCT BEGAR DCT TRA DCT GAMSA DCT UMVEG DCT DIMLO/N0433F370 DCT INVED DCT LAMIT DCT TOSVI TOSVI2U ,LROP0231 LBSF ,"CODE/3944F1 DOF/240321 EET/EDUU0038 LSAS0042 LOVV0050 EDUU0054 LOVV0054 LJLA0127 LHCC0129 LRBB0151 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FGRHR RMK/TCAS RVR/075 SUR/EUADSBX CANMANDATE)
",CDG,False,1735.0,3944F1,A319
7497,F,2121,LFPG,ZSPD,AFR116   ,Z,B77W   ,Z  ,FGZNR    ,,240321,AA57106271,,,,,,,3965B1,,AFR116,IS ,B77W/H,SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG2100 ,"N0486F310 BUBLI UG42 LUVAL DCT BEGAR DCT TRA DCT GAMSA N871 XEBIX Z2 UMVEG DCT DIMLO DCT SOGMO DCT MOPUG/N0476F330 DCT MIVSA DCT NEKUL DCT DINRO DCT UDROS UM859 KARDE UN644 ROLIN/N0473F350 DCT TETRO DCT BARAD M747 LUSAL N199 RASAM L88 METKA/K0879F350 B476 TIMGA A480 URG N147 EGZIG/K0873F370 N147 TRK Z621 ARBOL M610 RULAD/K0873S1130 A343 POSOT B215 FKG W188 GOVSA W66 DKO W69 HUR B3
",nan,nan,CDG,False,2121.0,3965B1,B77W
7499,F,1222,LFPG,DTTA,AFR1184  ,Z,A320   ,Z  ,FHEPG    ,,240321,AA57091732,,,,,,,3991E6,,AFR1184,IS ,A320/M,SDE2E3FGIJ1J4RWY/HB1D1G1 ,LFPG1205 ,N0435F370 ERIXU DCT ETAMO DCT ADEKA DCT MOKDI DCT MEN DCT BADAM DCT FJR UM731 DIVKO UM154 JUSQO DCT OBLAD DCT NAFOQ DCT SALMA/N0434F370 UG6 ANB UA411 MORJA/N0431F370 UM978 TUC B979 ICANI DCT ,DTTA0214 DTMB ,"CODE/3991E6 DOF/240321 EET/DAAA0132 DTTC0156 OPR/AFR ORGN/LFBOAFMI PER/C REG/FHEPG RMK/TCAS OVERFLT PERM NBR DA 2513 DG ANAC 2023 RVR/075 SUR/260B CANMANDATE)
",CDG,False,1222.0,3991E6,A320
7501,F,1625,LFPG,LPPT,AFR1194  ,Z,BCS3   ,Z  ,FHZUX    ,,240321,AA57096153,,,,,,,39E697,,AFR1194,IS ,BCS3/M,SBDE2E3GIJ1RWXY/LB1 ,LFPG1500 ,N0437F350 LGL UT176 TERPO UN872 ERIGA UZ218 FUJTI/N0431F370 DCT BAKUP DCT BATAX DCT INBOM ,LPPT0154 LPFR ,"CODE/39E697 DOF/240321 EET/LECM0056 LPPC0121 OPR/AFR ORGN/LFBOAFMI PER/C REG/FHZUX RMK/TCAS RVR/200 SUR/260B CANMANDATE)
",CDG,False,1624.0,39E697,BCS3
7503,F,921,LFPG,LEVC,AFR11DN  ,Z,E190   ,Z  ,FHBLB    ,,240321,AA57074944,,,,,,,398561,,AFR11DN,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFPG0855 ,N0455F370 ERIXU DCT ETAMO DCT GUERE DCT EVPOK DCT AGN DCT ANETO DCT POSSY DCT ROCME DCT SEROX/N0449F390 N860 CASPE DCT MLA N860 SAURA ,LEVC0137 LEAL ,"CODE/398561 DOF/240321 EET/LFBB0024 LECB0100 OPR/HOP ORGN/EKBICPUF REG/FHBLB RMK/CONTACT OCC +33240135367 RVR/175)
",CDG,False,921.0,398561,E190
7504,F,1455,LFPG,LFML,AFR11JV  ,Z,A320   ,Z  ,FHEPK    ,,240321,AA57095615,,,,,,,3991EA,,AFR11JV,IS ,A320/M,SDE2E3FGIJ1J4RWY/LB1D1G1 ,LFPG1440 ,N0400F290 LATRA DCT LAMUT DCT UTUVA DCT LERGA ,LFML0058 LFMN ,"CODE/3991EA DOF/240321 EET/LFMM0047 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FHEPK RMK/TCAS RVR/075 SUR/260B CANMANDATE)
",CDG,False,1455.0,3991EA,A320
7505,F,1516,LFPG,LOWW,AFR11WT  ,Z,E190   ,Z  ,FHBLV    ,,240321,AA57074572,,,,,,,398575,,AFR11WT,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFPG1450 ,N0455F370 RANUX UN858 LIMGO DCT BITBU DCT NOSPA DCT BOMBI DCT TENLO DCT DEXIT DCT VENEN VENEN3W ,LOWW0148 LZIB ,"CODE/398575 DOF/240321 EET/EBBU0029 EDGG0034 EDMM0059 LOVV0115 LKAA0116 LOVV0120 LHCC0142 LOVV0143 IFP/MODESASP OPR/HOP ORGN/EKBICPUF REG/FHBLV RMK/CONTACT OCC +33240135367 RVR/175)
",CDG,False,1515.0,398575,E190
7507,F,1626,LFPG,LIMF,AFR1202  ,Z,E170   ,Z  ,FHBXA    ,,240321,AA57076287,,,,,,,3986E0,,AFR1202,IS ,E170/M,SDE2E3FGIJ1RWY/HB1 ,LFPG1615 ,N0464F330 OKASI DCT OKEKO DCT MOU DCT MADIV DCT MOKIP DCT TUFTA DCT GVA DCT MOBLO/N0446F190 DCT LURAG M135 VEROB ,LIMF0105 LIMZ ,"CODE/3986E0 DOF/240321 EET/LFMM0033 LSAS0041 LFMM0042 LIMM0047 LFMM0048 LIMM0048 IFP/MODESASP OPR/HOP ORGN/EKBICPUF REG/FHBXA RMK/CONTACT OCC +33240135367 RVR/175)
",CDG,False,1626.0,3986E0,E170
7508,F,1437,LFPG,LIPZ,AFR1226  ,Z,E190   ,Z  ,FHBLX    ,,240321,AA57077651,,,,,,,398577,,AFR1226,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFPG1420 ,N0457F350 LANVI DCT BEGAR DCT ELMUR/N0470F290 DCT RESIA DCT ATPED DCT TAGIP DCT MOVOR DCT ADOSA L612 ALBET ,LIPZ0120 LIPX ,"CODE/398577 DOF/240321 EET/LFEE0024 EDGG0036 LSAS0039 LIMM0052 LIMM0053 LSAS0053 IFP/MODESASP OPR/HOP ORGN/EKBICPUF REG/FHBLX RMK/CONTACT OCC +33240135367 RVR/175)
",CDG,False,1437.0,398577,E190
7509,F,633,LFPG,LIPE,AFR1228  ,Z,A321   ,Z  ,FGTAS    ,,240321,AA57085626,,,,,,,394C12,,AFR1228,IS ,A321/M,SDE2E3FGIJ1RWY/HB1 ,LFPG0620 ,N0434F350 LANVI DCT BEGAR DCT RIPUS DCT GERSA DCT SOSON DCT ODINA DCT ROBAS L153 OSBUL L995 RIPDU ,LIPE0110 LIPZ ,"CODE/394C12 DOF/240321 EET/EDUU0035 LSAS0038 LIMM0051 LSAS0053 LIMM0054 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FGTAS RMK/TCAS RVR/075 SUR/260B CANMANDATE)
",CDG,False,633.0,394C12,A321
7511,F,1119,LFPG,GMMX,AFR1276  ,Z,A320   ,Z  ,FHEPH    ,,240321,AA57090651,,,,,,,3991E7,,AFR1276,IS ,A320/M,SDE2E3FGIJ1J4RWY/HB1D1G1 ,LFPG1110 ,N0432F370 AGOPA DCT ARKIP DCT ARMAL DCT ARTAX DCT BEBIX DCT LMG DCT UVELI DCT OSMOB DCT ARVID/N0439F390 DCT PPN DCT NOLSA DCT ALEPO DCT VASUM DCT GARVU DCT BANEV DCT BAN DCT PINAR DCT CJN DCT INTAX DCT NASOS DCT ANZAN DCT BLN DCT MGA DCT PIMOS DCT GALTO UN869 SLK/N0433F330 UN869 MABAP ,GMMX0251 GMMN ,"CODE/3991E7 DOF/240321 EET/LECM0057 GMMM0205 OPR/AFR ORGN/LFBOAFMI PER/C REG/FHEPH RM
",CDG,False,1119.0,3991E7,A320
7512,F,732,LFLL,LFML,AFR12DG  ,Z,E190   ,Z  ,FHBLO    ,,240321,AA57066120,,,,,,,39856E,,AFR12DG,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFLL0725 ,N0395F190 ROMAM B16 MTL ,LFML0033 LFMT ,"CODE/39856E DOF/240321 IFP/MODESASP OPR/HOP ORGN/EKBICPUF REG/FHBLO RMK/CONTACT OCC +33240135367 RVR/175)
",LYON,False,734.0,39856E,E190
7514,F,1343,LFRS,LFPG,AFR12RM  ,Z,A320   ,Z  ,FHEPB    ,,240321,AA57093514,,,,,,,3991E1,,AFR12RM,IS ,A320/M,SDE2E3FGHIJ1RWY/HB1 ,LFRS1315 ,N0371F220 ANG UN741 TEMTO/N0380F240 UN741 KEPER ,LFPG0039 LFOB ,"CODE/3991E1 DOF/240321 EET/LFFF0007 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FHEPB RMK/TCAS RVR/075 SUR/260B CANMANDATE)
",NANT,False,1344.0,3991E1,A320
7515,F,1957,LFPG,LSGG,AFR12VH  ,Z,BCS3   ,Z  ,FHZUG    ,,240321,AA57101900,,,,,,,39E686,,AFR12VH,IS ,BCS3/M,SBDE2E3GIJ1RWXY/LB1 ,LFPG1945 ,N0421F250 PILUL DCT PIMUP DCT PIXIS DCT PIBAT/N0408F230 DCT LUSAR ,LSGG0041 LFLL ,"CODE/39E686 DOF/240321 EET/LFEE0035 LFMM0037 LSAS0039 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FHZUG RMK/TCAS RVR/200 SUR/260B CANMANDATE)
",CDG,False,1957.0,39E686,BCS3
7518,F,1847,LFPG,EDDN,AFR1310  ,Z,E190   ,Z  ,FHBLB    ,,240321,AA57078873,,,,,,,398561,,AFR1310,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFPG1840 ,N0456F360 RANUX/N0455F370 UN858 LIMGO DCT BOMBI Z723 KONAP/N0468F310 Z723 KOMIB T193 ERTES T194 DODAS DODAS1T ,EDDN0113 EDDM ,"CODE/398561 DOF/240321 EET/EBBU0028 EDGG0032 EDMM0059 EDGG0105 EDMM0113 OPR/HOP ORGN/EKBICPUF REG/FHBLB RMK/CONTACT OCC +33240135367 RVR/175)
",CDG,False,1847.0,398561,E190
7520,F,948,LFPG,KDFW,AFR132   ,Z,B789   ,Z  ,FHRBG    ,,240321,AA57091952,,,,,,,39C426,,AFR132,IS ,B789/H,SDE2E3GHIJ1J2J3J4J5M1P2RWXYZ/LB1D1 ,LFPG0915 ,N0498F260 ATREX UT225 VESAN/N0498F300 UL613 SOVAT/N0492F340 L613 TLA/N0486F360 DCT ORTAV/M085F360 DCT 62N020W 63N030W 63N040W 63N050W/M085F380 DCT MAXAR DCT MIBNO/N0491F380 DCT 5830N07000W DCT VIRSO DCT KP12M DCT KG72I DCT KK54G DCT TUL DCT BYP WILBR8 ,KDFW0935 KMEM ,"CODE/39C426 DAT/1FANSER2PDC DOF/240321 EET/EGTT0020 EGPX0059 EGGX0147 BIRD0212 CZQX0330 BGGL0338 CZQX0429 CZUL
",CDG,False,947.0,39C426,B789
7521,F,2054,LFPG,LIPZ,AFR1326  ,Z,BCS3   ,Z  ,FHZUI    ,,240321,AA57103030,,,,,,,39E688,,AFR1326,IS ,BCS3/M,SBDE2E3GIJ1RWXY/LB1 ,LFPG2045 ,N0441F330 BUBLI UG42 LUVAL DCT BEGAR DCT ELMUR DCT RESIA/N0381F190 P131 ADOSA L612 ALBET ,LIPZ0116 LIMC ,"CODE/39E688 DOF/240321 EET/EDUU0037 LSAS0040 LIMM0055 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FHZUI RMK/TCAS RVR/200 SUR/260B CANMANDATE)
",CDG,False,2053.0,39E688,BCS3
7522,F,1527,LFPG,LSGG,AFR1342  ,Z,BCS3   ,Z  ,FHZUG    ,,240321,AA57096469,,,,,,,39E686,,AFR1342,IS ,BCS3/M,SBDE2E3GIJ1RWXY/LB1 ,LFPG1515 ,N0420F250 PILUL DCT PIMUP DCT PIXIS DCT PIBAT/N0407F230 DCT LUSAR ,LSGG0041 LFLL ,"CODE/39E686 DOF/240321 EET/LFEE0035 LFMM0037 LSAS0039 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FHZUG RMK/TCAS RVR/200 SUR/260B CANMANDATE)
",CDG,False,1527.0,39E686,BCS3
7523,F,2033,LFPG,DAAG,AFR1354  ,Z,A320   ,Z  ,FHEPG    ,,240321,AA57102210,,,,,,,3991E6,,AFR1354,IS ,A320/M,SDE2E3FGIJ1J4RWY/HB1D1G1 ,LFPG2005 ,N0439F370 ERIXU DCT ETAMO DCT ADEKA DCT MOKDI DCT MEN DCT BADAM DCT KANIG DCT BGR DCT FEVIK DCT SALON DCT SADEM DCT DUNES DCT SISMO DCT KENAS DCT POS DCT TALEN DCT XESPA DCT GENIO DCT BUYAH UA27 ALR DCT ,DAAG0147 LEPA ,"CODE/3991E6 DOF/240321 EET/LECB0059 DAAA0135 OPR/AFR ORGN/LFBOAFMI PER/C REG/FHEPG RMK/TCAS OVERFLT PERM NBR DA 2513 DG ANAC 2023 RVR/075 SUR/260B CANMANDATE)
",CDG,False,2033.0,3991E6,A320
7525,F,1240,LFPG,KORD,AFR136   ,Z,A359   ,Z  ,FHUVA    ,,240321,AA57097957,,,,,,,39D2A0,,AFR136,IS ,A359/H,SABDE2E3GHIJ1J2J3J4J5M1P2RWXYZ/LB1D1 ,LFPG1210 ,N0483F380 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT MOPAT DCT SUNOT/M085F390 NATC HOIST/N0495F400 N600A YBC DCT IGSAS DCT KAPUX DCT HOCKE DCT FNT WYNDE2 ,KORD0827 KRFD ,"CODE/39D2A0 DAT/1FANSE2PDC DOF/240321 EET/EGTT0037 EISN0057 EGGX0127 CZQX0300 CZUL0545 CZYZ0707 KZOB0741 KZAU0801 SUNOT0154 58N020W0217 59N040W0341 57N050W0426 HOIST0502 NAV/RNP2 OPR/AFR ORGN/LFBOAFMI PER/C RA
",CDG,False,1239.0,39D2A0,A359
7528,F,2028,LFPG,DTTA,AFR1384  ,Z,A320   ,Z  ,FHEPH    ,,240321,AA57102214,,,,,,,3991E7,,AFR1384,IS ,A320/M,SDE2E3FGIJ1J4RWY/HB1D1G1 ,LFPG2005 ,N0437F370 LATRA DCT LAMUT DCT UTUVA DCT TITVA/N0435F390 DCT NOQAS UM728 KOLON/N0434F370 DCT LOKDU DCT PELOS DCT IPROM DCT SODIO/N0406F310 DCT KOVAS DCT CAR DCT NOLSI A868 MEDAR DCT ,DTTA0156 DTMB ,"CODE/3991E7 DOF/240321 EET/LIRR0120 DTTC0147 OPR/AFR ORGN/LFBOAFMI PER/C REG/FHEPH RMK/TCAS RVR/075 SUR/260B CANMANDATE)
",CDG,False,2028.0,3991E7,A320
7530,F,1047,LFPG,LTFM,AFR1390  ,Z,BCS3   ,Z  ,FHPNG    ,,240321,AA57090096,,,,,,,39BDA6,,AFR1390,IS ,BCS3/M,SBDE2E3GIJ1RWXY/LB1 ,LFPG1035 ,N0432F370 BUBLI UG42 LUVAL DCT BEGAR DCT TRA DCT GAMSA DCT UMVEG DCT BERTA DCT OKLOP DCT ETIDA T390 RILEX ,LTFM0249 LTAC ,"CODE/39BDA6 DOF/240321 EET/EDUU0037 LSAS0041 LOVV0048 LJLA0116 LDZO0122 LYBA0142 LBSR0202 LTBB0229 OPR/AFR ORGN/LFBOAFMI PER/C REG/FHPNG RMK/TCAS RVR/200 SUR/260B CANMANDATE)
",CDG,False,1047.0,39BDA6,BCS3
7532,F,1622,LFML,LFPO,AFR13DK  ,Z,A318   ,Z  ,FGUGR    ,,240321,AA57096583,,,,,,,3950D1,,AFR13DK,IS ,A318/M,SDE2E3FGIJ1J4RWY/HB1D1G1 ,LFML1520 ,N0414F340 ETREK UM976 MOPEM DCT PIBAT ,LFPO0058 LFPG ,"CODE/3950D1 DOF/240321 EET/LFFF0006 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FGUGR RMK/TCAS RVR/075 SUR/EUADSBX CANMANDATE)
",MARS,False,1529.0,3950D1,A318
7533,F,518,LFRS,LFPG,AFR13ER  ,Z,A320   ,Z  ,FHEPK    ,,240321,AA57083847,,,,,,,3991EA,,AFR13ER,IS ,A320/M,SDE2E3FGIJ1J4RWY/LB1D1G1 ,LFRS0505 ,N0348F200 ANG UN741 TEMTO/N0358F220 UN741 KEPER ,LFPG0038 LFOB ,"CODE/3991EA DOF/240321 EET/LFFF0007 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FHEPK RMK/TCAS RVR/075 SUR/260B CANMANDATE)
",NANT,False,521.0,3991EA,A320
7535,F,1113,LFPO,LFMN,AFR13JM  ,Z,A319   ,Z  ,FHDSJ    ,,240321,AA57092531,,,,,,,398E49,,AFR13JM,IS ,A319/M,SDFGHIJ1RWY/LB1 ,LFPO1035 ,N0444F350 LATRA DCT LAMUT DCT UTUVA DCT LERGA DCT LIQID UY30 LATAM UY22 NISAR ,LFMN0114 LFML LFMT ,"CODE/398E49 DOF/240321 EET/LFMM0024 IFP/MODESASP OPR/AIA ORGN/EKBICPUF REG/FHDSJ RMK/OPS 0033174377112)
",ORL,False,1111.0,398E49,A319
7536,F,952,LFBP,LFPG,AFR13NH  ,Z,E190   ,Z  ,FHBLI    ,,240321,AA57069480,,,,,,,398568,,AFR13NH,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFBP0950 ,N0467F300 USAKU DCT AGN DCT POKET DCT POI DCT PEPAX/N0471F280 UT182 KEPER ,LFPG0121 LFOB ,"CODE/398568 DOF/240321 EET/LFFF0040 IFP/MODESASP OPR/HOP ORGN/EKBICPUF REG/FHBLI RMK/CONTACT OCC +33240135367 RVR/175)
",PYRN,False,951.0,398568,E190
7537,F,848,LFPG,LROP,AFR13SG  ,Z,A319   ,Z  ,FGRHK    ,,240321,AA57086377,,,,,,,3944EA,,AFR13SG,IS ,A319/M,SDE2E3FGIJ1RWY/HB1 ,LFPG0840 ,N0434F370 LANVI DCT BEGAR DCT TRA DCT GAMSA DCT BIRGI DCT DIMLO DCT INVED DCT LAMIT DCT TOSVI TOSVI2U ,LROP0225 LRBS ,"CODE/3944EA DOF/240321 EET/EDUU0037 LSAS0041 LOVV0049 EDUU0052 LOVV0053 LJLA0123 LHCC0125 LRBB0147 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FGRHK RMK/TCAS RVR/075 SUR/EUADSBX CANMANDATE)
",CDG,False,848.0,3944EA,A319
7540,F,1500,LFPG,GMMN,AFR13ZM  ,Z,A320   ,Z  ,FHEPE    ,,240321,AA57094922,,,,,,,3991E4,,AFR13ZM,IS ,A320/M,SDE2E3FGIJ1J4RWY/HB1D1G1 ,LFPG1410 ,N0433F370 AGOPA DCT ARKIP DCT ARMAL DCT ARTAX DCT BEBIX DCT LMG DCT UVELI DCT OSMOB DCT VAVIX DCT NETUK DCT PPN DCT NOLSA DCT ALEPO DCT VASUM DCT GARVU DCT BANEV DCT BAN DCT PINAR DCT CJN DCT INTAX/N0439F390 DCT NASOS DCT ANZAN DCT BLN DCT MGA DCT PIMOS DCT GALTO UB11 TUSOR ,GMMN0238 GMMX ,"CODE/3991E4 DOF/240321 EET/LECM0055 GMMM0206 OPR/AFR ORGN/LFBOAFMI PER/C REG/FHEPE RMK/TCAS OVER
",CDG,False,1500.0,3991E4,A320
7542,F,1504,LFPG,EDDL,AFR1406  ,Z,E190   ,Z  ,FHBLB    ,,240321,AA57074593,,,,,,,398561,,AFR1406,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFPG1440 ,N0432F220 RANUX/N0443F230 UN858 VALEK UM163 DIK N853 ARCKY T853 NVO T857 BIKMU BIKMU1G ,EDDL0056 EDDK ,"CODE/398561 DOF/240321 EET/EBBU0026 EDGG0031 EBBU0032 EDGG0035 IFP/MODESASP OPR/HOP ORGN/EKBICPUF REG/FHBLB RMK/CONTACT OCC +33240135367 RVR/175)
",CDG,False,1504.0,398561,E190
7543,F,1733,LFPG,EHAM,AFR1440  ,Z,BCS3   ,Z  ,FHZUO    ,,240321,AA57098919,,,,,,,39E68E,,AFR1440,IS ,BCS3/M,SBDE2E3GIJ1RWXY/LB1 ,LFPG1715 ,N0448F300 NURMO UN874 VEKIN UN873 ADUTO N873 FERDI/N0415F240 Y18 DENUT ,EHAM0037 EHRD ,"CODE/39E68E DOF/240321 EET/EBUR0017 EHAA0024 IFP/MODESASP OPR/AFR ORGN/LFBOAFMI PER/C REG/FHZUO RMK/TCAS RVR/200 SUR/260B CANMANDATE)
",CDG,False,1733.0,39E68E,BCS3
7544,F,1423,LFPG,DNMM,AFR148   ,Z,A359   ,Z  ,FHTYS    ,,240321,AA57097323,,,,,,,39CF12,,AFR148,IS ,A359/H,SABDE2E3GHIJ1J2J3J4J5M1P2RWXYZ/LB1D1 ,LFPG1340 ,"N0479F390 ERIXU DCT ETAMO DCT GUERE DCT EVPOK DCT AGN DCT ANETO/N0480F410 DCT TURUV DCT GRAUS DCT LOBAR DCT SEROX DCT CASPE DCT MLA DCT CRETA DCT RIMES DCT SAURA DCT TATOS DCT PLANA DCT VLC DCT RIPUX DCT SUMMO DCT MAGAL DCT LIMTU DCT RINDI DCT HAMRA/N0482F410 UA34 MOS UA604 BAY/N0484F400 UM608 ROFER UG859 MOKAT/N0489F400 UG859 BAKAB UA603 LIPET/N0493F390 DCT BATIA DCT TENTU
",nan,nan,CDG,False,1423.0,39CF12,A359
7545,F,741,LFLL,LFRS,AFR1482  ,Z,E190   ,Z  ,FHBLK    ,,240321,AA57066458,,,,,,,39856A,,AFR1482,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFLL0735 ,N0462F330 BELEP UP860 TIS DCT LMG DCT MANAK ,LFRS0058 LFRZ ,"CODE/39856A DOF/240321 EET/LFBB0018 LFRR0049 IFP/MODESASP OPR/HOP ORGN/EKBICPUF REG/FHBLK RMK/CONTACT OCC +33240135367 RVR/175)
",LYON,False,743.0,39856A,E190
7546,F,529,LFRS,LFLL,AFR1483  ,Z,E190   ,Z  ,FHBLJ    ,,240321,AA57063106,,,,,,,398569,,AFR1483,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFRS0525 ,N0465F250 LUGEN UM616 TUPAR/N0463F330 DCT DIDRU DCT BEBIX DCT VALKU DCT LABAL ,LFLL0050 LFLC ,"CODE/398569 DOF/240321 EET/LFBB0008 LFMM0028 IFP/MODESASP OPR/HOP ORGN/EKBICPUF REG/FHBLJ RMK/CONTACT OCC +33240135367 RVR/175)
",NANT,False,531.0,398569,E190
7547,F,1734,LFRS,LFLL,AFR1489  ,Z,E190   ,Z  ,FHBLJ    ,,240321,AA57077529,,,,,,,398569,,AFR1489,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFRS1730 ,N0467F250 LUGEN UM616 TUPAR/N0464F330 DCT DIDRU DCT BEBIX DCT VALKU DCT LABAL ,LFLL0055 LFLC ,"CODE/398569 DOF/240321 EET/LFBB0010 LFMM0032 IFP/MODESASP OPR/HOP ORGN/EKBICPUF REG/FHBLJ RMK/CONTACT OCC +33240135367 RVR/175)
",NANT,False,1737.0,398569,E190
